,name,name_trans
860,control flow analysis,실행 흐름 분석
861,iff,때면이
862,iff,이면/일때만
863,iff,이면면
864,iff,이면-이려면
865,iff,이면이
866,object,물건
867,widening,축지법
868,deep neural net,깊은 신경망
869,deep neural net,딥뉴럴넷
870,annotation,"덧댄글, 덧글, 몇마디"
871,annotation,"붙여쓰기, 붙여쓴글"
872,dynamic dispatch,호출할 함수가 실행중에 결정되는
873,dynamic dispatch,동적 함수호출
874,parameterized module,일반화된 모듈
875,pattern row,레코드 패턴
876,ramdomization,무작위
877,delayed evaluation,미루어 계산하기
878,delayed evaluation,값 계산을 최대한 미루기
879,dynamic scoping,이름의 유효범위가 실행 중에 결정되는
880,dynamic scoping,실행중에 드러나는 이름의 실체
881,dynamic scoping,동적으로 유효범위 정하기
882,alias,별명
883,type instantiation,타입 틀 구체화
884,type instantiation,타입 틀 적용
885,mutual recursive,서로 호출하는
886,mutual recursive,서로 맞물려서 호출하는
887,mutual recursive,맞재귀
888,polymorphic,여러 타입을 가지는
889,polymorphic,여러 모양의
890,polymorphic,모양이 다양한
891,polymorphic,다형의
892,coroutine,협동 과정
893,functor,모듈 만드는 함수
894,functor,모듈함수
895,equality saturation,동일식 다모으기
896,equality saturation,동일식 모두탐색
897,equality saturation,동일식 전부 찾아내기
898,incompleteness theorem,불완전성 정리
899,incompleteness theorem,기계적인 방식으로는 늘 빠뜨린게 있다는 정리
900,binary,두개의
901,bounded probabilistic polynomial,오류율을 잡아둘 수 있는 확률형 다항
902,linear logic,일회성추적 논리
903,safety property,늘 성질
904,safety property,늘 유지되는 성질
905,safety property,내내 성질
906,safety property,항상 유지되는 성질
907,safety property,항상 성질
908,greatest lower bound,최대밑뚜껑
909,greatest lower bound,바로아래
910,greatest lower bound,최대 하한
911,greatest lower bound,최대 바닥
912,polyvariant analysis,여러개로 요약하는 분석
913,polyvariant analysis,다수의 프로그램 흐름을 하나이상으로 요약하는 분석
914,polyvariant analysis,다대다 분석
915,polyvariant analysis,다형성을 가지는 분석
916,solver,"문제풀기, 답내기, 답정기"
917,solver,"풀이기, 풀개"
918,solver,검사기
919,solver,계산기
920,abstraction hierarchy,요약 단계
921,abstraction hierarchy,핵심간추린 것으로 차곡차곡 쌓기
922,abstraction hierarchy,속내용 감추며 차곡차곡 쌓기
923,evaluation,계산
924,evaluation,값계산
925,evaluation,실행
926,homomorphic,동형의
927,homomorphic,생긴구조가 같은
928,parametric polymorphism,모든타입에 열려있는 다형성
929,parametric polymorphism,"다형성, 타입상관 없음, 타입상관 안함"
930,parametric polymorphism,모든타입 다형성
931,disjunctive normal form,또는-조합 바른식
932,disjunctive normal form,또는-조합 표준형
933,deployment,배포 
934,match,어울리기
935,match,패턴에 맞추기
936,incomplete,빠진게 있는
937,incomplete,빠뜨린게 있는
938,incomplete,불완전한
939,incomplete,완전하지않은
940,scope,유효범위
941,mono-variant analysis,다대일 분석
942,mono-variant analysis,다수의 프로그램 흐름을 하나로 요약하는 분석
943,Boolean expression,부울식
944,ownership,소유권
945,compositionality,조립식
946,sparse vector,듬성듬성한 벡터
947,sparse vector,거의 빈 벡터
948,lexical scope,생김새로 결정되는 유효 범위
949,node,노드
950,semantic operator,"의미연산자, 의미 연산자"
951,contra-variant,반대쪽변환
952,contra-variant,거슬러 변하기
953,contra-variant,반대 변환
954,contra-variant,거슬러 변하는
955,tail recursive,끝재귀
956,tail recursive,자기 호출이 마지막인
957,tail recursive,마지막에 자기자신을 부르는
958,tail recursive,꼬리재귀
959,polymorphism,타입 적응하는
960,polymorphism,"타입상관없음, 타입상관안함"
961,polymorphism,다형성
962,ad-hoc polymorphism,겉보기 다형성
963,ad-hoc polymorphism,"타입따라 변하기, 타입따라 변하는, 타입따라 다른 "
964,ad-hoc polymorphism,타입적응하는 
965,ad-hoc polymorphism,임기응변 다형성
966,ad-hoc polymorphism,가짜 다형성
